Energieträger,BfsNumber,Gemeindename,Minergie,Minergie_percentual
945,301,Aarberg,12,1.2698412698412698
1258,321,Aarwangen,9,0.7154213036565978
1872,561,Adelboden,5,0.2670940170940171
351,401,Aefligen,2,0.5698005698005698
559,731,Aegerten,0,0.0
761,562,Aeschi bei Spiez,3,0.39421813403416556
416,951,Affoltern im Emmental,4,0.9615384615384616
215,402,Alchenstorf,0,0.0
171,630,Allmendingen,3,1.7543859649122806
287,921,Amsoldingen,1,0.34843205574912894
546,381,Arch,6,1.098901098901099
319,602,Arni (BE),0,0.0
503,971,Attiswil,3,0.5964214711729622
153,322,Auswil,0,0.0
267,323,Bannwil,1,0.37453183520599254
345,302,Bargen (BE),2,0.5797101449275363
748,571,Beatenberg,0,0.0
503,732,Bellmund,2,0.3976143141153081
2184,861,Belp,61,2.7930402930402933
139,681,Belprahon,0,0.0
22,972,Berken,0,0.0
16050,351,Bern,180,1.1214953271028036
240,973,Bettenhausen,1,0.4166666666666667
9105,371,Biel/Bienne,86,0.9445359692476661
468,603,Biglen,5,1.0683760683760684
252,324,Bleienbach,2,0.7936507936507936
400,922,Blumenstein,1,0.25
1642,352,Bolligen,7,0.42630937880633374
659,791,Boltigen,0,0.0
437,605,Bowil,1,0.2288329519450801
1125,353,Bremgarten bei Bern,15,1.3333333333333335
156,606,Brenzikofen,0,0.0
1606,573,Brienz (BE),20,1.2453300124533
323,574,Brienzwiler,0,0.0
827,733,Brügg,13,1.5719467956469164
221,491,Brüttelen,1,0.4524886877828055
504,923,Buchholterberg,12,2.380952380952381
3546,404,Burgdorf,37,1.0434292160180485
425,863,Burgistein,1,0.2352941176470588
79,325,Busswil bei Melchnau,0,0.0
367,403,Bäriswil,1,0.2724795640326975
953,533,Bätterkinden,16,1.6789087093389297
827,572,Bönigen,5,0.6045949214026602
305,382,Büetigen,0,0.0
172,734,Bühl,0,0.0
945,383,Büren an der Aare,3,0.31746031746031744
82,683,Champoz,0,0.0
87,687,Corcelles (BE),0,0.0
535,431,Corgémont,2,0.3738317757009346
182,432,Cormoret,0,0.0
243,433,Cortébert,0,0.0
538,690,Court,2,0.37174721189591076
492,434,Courtelary,1,0.20325203252032523
219,691,Crémines,1,0.45662100456621
31,535,Deisswil bei Münchenbuchsee,0,0.0
1403,762,Diemtigen,0,0.0
318,385,Diessbach bei Büren,3,0.9433962264150944
435,386,Dotzigen,2,0.45977011494252873
185,575,Därligen,2,1.0810810810810811
389,761,Därstetten,0,0.0
400,952,Dürrenroth,3,0.75
820,901,Eggiwil,1,0.12195121951219512
114,735,Epsach,0,0.0
468,953,Eriswil,0,0.0
237,924,Eriz,0,0.0
464,492,Erlach,1,0.21551724137931033
705,763,Erlenbach im Simmental,0,0.0
670,405,Ersigen,10,1.4925373134328357
141,692,Eschert,0,0.0
739,372,Evilard,5,0.6765899864682002
232,925,Fahrni,1,0.43103448275862066
117,975,Farnern,0,0.0
432,662,Ferenbalm,0,0.0
159,493,Finsterhennen,1,0.628930817610063
230,948,Forst-Längenbühl,0,0.0
1612,538,Fraubrunnen,11,0.6823821339950372
345,663,Frauenkappelen,1,0.2898550724637681
98,607,Freimettigen,2,2.0408163265306123
2345,563,Frutigen,7,0.2985074626865672
281,494,Gals,2,0.7117437722419928
339,495,Gampelen,5,1.4749262536873156
398,866,Gerzensee,7,1.7587939698492463
264,326,Gondiswil,0,0.0
117,976,Graben,1,0.8547008547008548
162,694,Grandval,0,0.0
2284,576,Grindelwald,5,0.21891418563922943
1046,303,Grossaffoltern,12,1.147227533460803
1001,608,Grosshöchstetten,28,2.797202797202797
469,841,Gsteig,0,0.0
