GGDENAME,Energieträger_Label,Anzahl
Aarberg,Elektrizität,48
Aarberg,Fernwärme,11
Aarberg,Gas,139
Aarberg,Geothermie,4
Aarberg,Heizöl,409
Aarberg,Holz,42
Aarberg,Keine,31
Aarberg,Luft,82
Aarberg,Weitere,179
Aarwangen,Elektrizität,43
Aarwangen,Fernwärme,16
Aarwangen,Gas,35
Aarwangen,Geothermie,8
Aarwangen,Heizöl,677
Aarwangen,Holz,126
Aarwangen,Keine,27
Aarwangen,Luft,50
Aarwangen,Sonne,2
Aarwangen,Weitere,274
Adelboden,Elektrizität,66
Adelboden,Fernwärme,26
Adelboden,Heizöl,1113
Adelboden,Holz,510
Adelboden,Keine,47
Adelboden,Luft,60
Adelboden,Sonne,6
Adelboden,Wasser,7
Adelboden,Weitere,37
Aefligen,Elektrizität,4
Aefligen,Fernwärme,6
Aefligen,Gas,134
Aefligen,Heizöl,99
Aefligen,Holz,26
Aefligen,Keine,4
Aefligen,Luft,19
Aefligen,Sonne,1
Aefligen,Weitere,58
Aegerten,Elektrizität,47
Aegerten,Geothermie,10
Aegerten,Heizöl,288
Aegerten,Holz,25
Aegerten,Keine,34
Aegerten,Luft,59
Aegerten,Sonne,3
Aegerten,Wasser,4
Aegerten,Weitere,89
Aeschi bei Spiez,Elektrizität,53
Aeschi bei Spiez,Fernwärme,4
Aeschi bei Spiez,Gas,4
Aeschi bei Spiez,Geothermie,5
Aeschi bei Spiez,Heizöl,334
Aeschi bei Spiez,Holz,183
Aeschi bei Spiez,Keine,32
Aeschi bei Spiez,Luft,41
Aeschi bei Spiez,Weitere,105
Affoltern im Emmental,Elektrizität,25
Affoltern im Emmental,Fernwärme,10
Affoltern im Emmental,Geothermie,4
Affoltern im Emmental,Heizöl,125
Affoltern im Emmental,Holz,163
Affoltern im Emmental,Keine,33
Affoltern im Emmental,Luft,19
Affoltern im Emmental,Sonne,4
Affoltern im Emmental,Weitere,33
Alchenstorf,Elektrizität,2
Alchenstorf,Fernwärme,27
Alchenstorf,Gas,1
Alchenstorf,Geothermie,3
Alchenstorf,Heizöl,59
Alchenstorf,Holz,53
Alchenstorf,Keine,24
Alchenstorf,Luft,14
Alchenstorf,Sonne,2
Alchenstorf,Weitere,30
Allmendingen,Elektrizität,25
Allmendingen,Gas,1
Allmendingen,Geothermie,12
Allmendingen,Heizöl,69
Allmendingen,Holz,27
Allmendingen,Keine,2
Allmendingen,Luft,21
Allmendingen,Weitere,14
Amsoldingen,Elektrizität,7
Amsoldingen,Gas,11
Amsoldingen,Geothermie,5
Amsoldingen,Heizöl,130
Amsoldingen,Holz,57
Amsoldingen,Keine,26
Amsoldingen,Luft,23
Amsoldingen,Sonne,1
Amsoldingen,Weitere,27
Arch,Elektrizität,30
Arch,Fernwärme,1
Arch,Gas,113
Arch,Geothermie,2
Arch,Heizöl,249
Arch,Holz,55
Arch,Keine,27
Arch,Luft,12
Arch,Sonne,2
Arch,Weitere,55
Arni (BE),Elektrizität,10
Arni (BE),Fernwärme,1
Arni (BE),Geothermie,7
Arni (BE),Heizöl,78
Arni (BE),Holz,166
Arni (BE),Keine,22
Arni (BE),Luft,24
Arni (BE),Sonne,1
Arni (BE),Weitere,10
Attiswil,Elektrizität,21
Attiswil,Fernwärme,1
Attiswil,Gas,1
Attiswil,Heizöl,309
Attiswil,Holz,47
Attiswil,Keine,12
Attiswil,Luft,50
Attiswil,Sonne,1
Attiswil,Weitere,61
Auswil,Elektrizität,6
Auswil,Fernwärme,2
Auswil,Gas,1
Auswil,Heizöl,45
Auswil,Holz,60
Auswil,Keine,4
Auswil,Luft,12
Auswil,Sonne,1
Auswil,Weitere,22
Bannwil,Elektrizität,21
Bannwil,Fernwärme,1
Bannwil,Geothermie,1
Bannwil,Heizöl,109
Bannwil,Holz,38
Bannwil,Keine,19
Bannwil,Luft,32
Bannwil,Sonne,2
Bannwil,Weitere,44
Bargen (BE),Elektrizität,2
Bargen (BE),Fernwärme,1
Bargen (BE),Gas,16
Bargen (BE),Geothermie,2
Bargen (BE),Heizöl,152
Bargen (BE),Holz,52
Bargen (BE),Keine,14
Bargen (BE),Luft,47
Bargen (BE),Wasser,1
Bargen (BE),Weitere,58
Beatenberg,Elektrizität,73
Beatenberg,Fernwärme,1
Beatenberg,Gas,1
Beatenberg,Heizöl,337
Beatenberg,Holz,232
Beatenberg,Keine,11
Beatenberg,Luft,66
Beatenberg,Sonne,7
Beatenberg,Weitere,20
Bellmund,Elektrizität,20
Bellmund,Gas,4
Bellmund,Geothermie,8
Bellmund,Heizöl,248
Bellmund,Holz,38
Bellmund,Keine,16
Bellmund,Luft,49
Bellmund,Sonne,2
Bellmund,Weitere,118
Belp,Elektrizität,87
Belp,Fernwärme,74
Belp,Gas,44
Belp,Geothermie,39
Belp,Heizöl,1196
Belp,Holz,265
Belp,Keine,83
Belp,Luft,72
Belp,Sonne,2
Belp,Weitere,322
Belprahon,Elektrizität,15
Belprahon,Heizöl,80
Belprahon,Holz,17
Belprahon,Keine,4
Belprahon,Luft,12
Belprahon,Weitere,11
Berken,Elektrizität,1
Berken,Heizöl,5
Berken,Holz,11
Berken,Keine,2
Berken,Luft,1
Berken,Weitere,2
Bern,Elektrizität,202
Bern,Fernwärme,1490
Bern,Gas,7234
Bern,Geothermie,469
Bern,Heizöl,4950
Bern,Holz,466
Bern,Keine,129
Bern,Luft,559
Bern,Sonne,8
Bern,Wasser,8
Bern,Weitere,535
Bettenhausen,Elektrizität,24
Bettenhausen,Fernwärme,10
Bettenhausen,Gas,46
Bettenhausen,Geothermie,1
Bettenhausen,Heizöl,64
Bettenhausen,Holz,45
Bettenhausen,Keine,3
Bettenhausen,Luft,21
Bettenhausen,Weitere,26
Biel/Bienne,Elektrizität,134
Biel/Bienne,Fernwärme,221
