GGDENAME	Energieträger
Aarberg	945
Aarwangen	1258
Adelboden	1872
Aefligen	351
Aegerten	559
Aeschi bei Spiez	761
Affoltern im Emmental	416
Alchenstorf	215
Allmendingen	171
Amsoldingen	287
Arch	546
Arni (BE)	319
Attiswil	503
Auswil	153
Bannwil	267
Bargen (BE)	345
Beatenberg	748
Bellmund	503
Belp	2184
Belprahon	139
Berken	22
Bern	16050
Bettenhausen	240
Biel/Bienne	9105
Biglen	468
Bleienbach	252
Blumenstein	400
Bolligen	1642
Boltigen	659
Bowil	437
Bremgarten bei Bern	1125
Brenzikofen	156
Brienz (BE)	1606
Brienzwiler	323
Brügg	827
Brüttelen	221
Buchholterberg	504
Burgdorf	3546
Burgistein	425
Busswil bei Melchnau	79
Bäriswil	367
Bätterkinden	953
Bönigen	827
Büetigen	305
Bühl	172
Büren an der Aare	945
Champoz	82
Corcelles (BE)	87
Corgémont	535
Cormoret	182
Cortébert	243
Court	538
Courtelary	492
Crémines	219
Deisswil bei Münchenbuchsee	31
Diemtigen	1403
Diessbach bei Büren	318
Dotzigen	435
Därligen	185
Därstetten	389
Dürrenroth	400
Eggiwil	820
Epsach	114
Eriswil	468
Eriz	237
Erlach	464
Erlenbach im Simmental	705
Ersigen	670
Eschert	141
Evilard	739
Fahrni	232
Farnern	117
Ferenbalm	432
Finsterhennen	159
Forst-Längenbühl	230
Fraubrunnen	1612
Frauenkappelen	345
Freimettigen	98
Frutigen	2345
Gals	281
Gampelen	339
Gerzensee	398
Gondiswil	264
Graben	117
Grandval	162
Grindelwald	2284
Grossaffoltern	1046
Grosshöchstetten	1001
Gsteig	469
Gsteigwiler	238
Guggisberg	702
Gurbrü	88
Gurzelen	256
Guttannen	150
Gündlischwand	155
Habkern	332
Hagneck	157
Hasle bei Burgdorf	981
Hasliberg	880
Heiligenschwendi	253
Heimberg	1402
Heimenhausen	380
Heimiswil	560
Hellsau	112
Herbligen	177
Hermrigen	131
Herzogenbuchsee	1768
Hilterfingen	1195
Hindelbank	622
Hofstetten bei Brienz	276
Homberg	154
Horrenbach-Buchen	112
Huttwil	1489
Häutligen	74
Höchstetten	150
Iffwil	127
Inkwil	269
Innertkirchen	766
Ins	1003
Interlaken	1145
Ipsach	751
Iseltwald	299
Ittigen	1684
Jaberg	105
Jegenstorf	1365
Jens	264
Kallnach	718
Kandergrund	691
Kandersteg	801
Kappelen	424
Kaufdorf	334
Kehrsatz	787
