canton,electric_car_share,electric_car_count,electric_car_share_last_change,electric_car_charging_spot_count,electric_cars_per_charging_spot,electric_car_charging_spot_last_change,solar_potential_usage,solar_power_installed_kwp,solar_potential_usage_last_change,renewable_heating_share,renewable_heating_count,non_renewable_heating_count,no_heating_count,renewable_heating_share_coverage,renewable_heating_share_last_change,elec_consumption_mwh_per_year_per_capita,elec_consumption_households_mwh_per_year_per_capita,elec_consumption_mwh_per_year,elec_consumption_households_mwh_per_year,elec_consumption_date_from,elec_consumption_date_until,renelec_production_mwh_per_year_per_capita,renelec_production_mwh_per_year,renelec_production_water_mwh_per_year,renelec_production_solar_mwh_per_year,renelec_production_wind_mwh_per_year,renelec_production_biomass_mwh_per_year,renelec_production_waste_mwh_per_year,renelec_production_date_from,renelec_production_date_until
AG,0.044207,20132,2025-03-31,1062,19.0,2025-04-28,0.106006,602527,2025-04-21,0.408096,64715,93863,98723,0.958198,2025-04-24,4.7477,1.832,3548568,1369271,2024-02-29,2025-02-28,5.4841,4098926,3507085,410427,0,97865,83557,2024-04-01,2025-03-31
AI,0.044999,521,2025-03-31,28,18.6,2025-04-28,0.166537,27899,2025-04-21,0.574241,3179,2357,4070,0.993998,2025-04-03,5.9426,2.2917,99916,38532,2024-02-29,2025-02-28,1.778,29894,9310,20140,0,444,0,2024-04-01,2025-03-31
AR,0.038811,1351,2025-03-31,64,21.1,2025-04-28,0.150835,66996,2025-04-07,0.464215,7699,8886,10143,0.960748,2025-04-16,4.7189,2.1511,269075,122660,2024-02-29,2025-02-28,1.0683,60915,8763,45875,0,6277,0,2024-04-01,2025-03-31
BE,0.041558,25432,2025-03-31,1499,17.0,2025-04-28,0.092988,872844,2025-04-21,0.39887,97952,147622,157089,0.875375,2025-04-17,4.7666,1.7875,5126885,1922602,2024-02-29,2025-02-28,4.2814,4605095,3649683,652477,76000,151010,75916,2024-04-01,2025-03-31
BL,0.045452,7673,2025-03-31,414,18.5,2025-04-28,0.109074,215367,2025-04-07,0.314808,22431,48822,44036,0.994076,2025-04-16,4.5918,1.5049,1393723,456765,2024-02-29,2025-02-28,3.1234,948039,793227,144016,0,10797,0,2024-04-01,2025-03-31
BS,0.04196,2972,2025-03-31,392,7.6,2025-04-28,0.083397,56687,2025-04-07,0.411551,10853,15518,4062,0.999475,2025-04-16,6.9999,1.1418,1414849,230786,2024-02-29,2025-02-28,0.5351,108159,1178,35369,0,45109,26503,2024-04-01,2025-03-31
FR,0.04327,9181,2025-03-31,540,17.0,2025-04-28,0.127547,403065,2025-04-21,0.551788,42406,34446,67342,0.939191,2025-04-17,4.6309,2.084,1627281,732320,2024-02-29,2025-02-28,3.0679,1078054,681549,333098,0,37121,26289,2024-04-01,2025-03-31
GE,0.032989,7631,2025-03-31,857,8.9,2025-04-28,0.075289,147625,2025-04-07,0.250545,11827,35378,22077,0.965011,2025-04-16,3.8979,0.9645,2083640,515556,2024-02-29,2025-02-28,1.6696,892503,735137,116494,0,6873,34001,2024-04-01,2025-03-31
GL,0.034714,937,2025-03-31,104,9.0,2025-04-28,0.099379,35921,2025-04-07,0.426276,6074,8175,9153,0.873242,2025-04-14,6.6799,2.6082,285828,111604,2024-02-29,2025-02-28,26.8138,1147343,1090992,26042,0,2086,28222,2024-04-01,2025-03-31
GR,0.038709,5002,2025-03-31,865,5.8,2025-04-28,0.070662,181658,2025-04-21,0.484077,36604,39012,36246,0.94302,2025-04-17,7.5188,3.2275,1562588,670752,2024-02-29,2025-02-28,43.9798,9140032,8895841,135506,4131,86449,18102,2024-04-01,2025-03-31
JU,0.033374,1628,2025-03-31,104,15.7,2025-04-28,0.113948,117413,2025-04-07,0.414648,10168,14354,19054,0.913926,2025-04-17,5.8337,2.2839,437701,171365,2024-02-29,2025-02-28,2.3355,175232,36846,97330,22119,18935,0,2024-04-01,2025-03-31
