xtf_id,bfs_nummer
2,632
3,762
11,670
25,324
33,616
42,988
47,768
48,616
51,843
52,632
57,357
59,533
74,593
85,613
119,329
121,329
122,342
132,668
133,382
176,359
180,716
182,405
190,632
232,573
233,351
235,880
236,941
237,584
240,668
257,907
261,355
266,434
269,362
274,616
286,770
292,843
294,883
295,903
297,879
300,359
301,855
310,743
313,355
321,954
326,942
331,948
342,868
361,390
373,567
378,942
381,544
385,567
395,942
402,307
415,351
420,355
426,902
430,585
436,938
448,492
455,357
457,903
461,443
462,344
465,565
467,406
472,745
473,841
475,342
481,562
486,934
490,445
491,616
492,942
498,746
504,942
505,610
507,357
529,611
538,861
550,726
554,582
555,988
556,445
558,496
559,371
567,360
576,443
578,434
579,312
583,668
587,339
589,957
598,434
602,793
603,749
612,929
614,794
627,939
658,446
672,444
673,762
682,942
689,438
693,581
697,443
701,940
713,907
723,361
747,841
753,619
755,345
758,385
764,312
765,942
773,409
777,360
785,768
790,988
798,360
813,979
836,922
838,360
842,302
843,415
848,886
849,355
852,415
854,670
856,770
857,355
870,546
871,360
875,956
877,793
878,941
883,768
884,620
892,763
906,355
910,544
916,614
918,351
920,414
927,785
932,905
940,362
967,616
979,700
986,700
1003,581
1012,355
1017,612
1023,355
1047,363
1049,944
1059,942
1074,361
1094,616
1098,902
1101,552
1109,909
1117,593
1121,337
1128,329
1129,450
1150,612
1157,768
1167,671
1173,669
1210,955
1231,382
1234,496
1236,955
1237,494
1240,794
1241,736
1243,321
1245,443
1247,355
1249,352
1250,955
1257,329
1263,700
1269,329
1271,546
1282,552
1291,352
1292,939
1293,386
1297,533
1306,552
1314,533
1315,329
1316,939
1319,413
1329,552
1331,768
1332,668
1333,928
1336,843
1339,355
1341,406
1342,700
1344,981
1355,939
1357,360
1359,701
1386,763
1390,955
1394,923
1396,541
1408,329
1430,363
1444,668
1454,668
1456,616
1468,663
1502,783
1510,351
1511,756
1520,362
1533,939
1534,794
1556,538
1573,608
1574,312
1575,855
1576,312
1588,354
1595,627
1605,723
1613,415
1647,784
1654,351
1673,717
1675,355
1676,351
1679,561
1686,409
1695,355
1699,371
1701,929
1702,351
1712,360
1719,616
1722,902
1726,909
1729,360
1748,735
1757,413
1761,668
1765,563
1778,383
1788,391
1799,354
1818,793
1820,628
1826,355
1827,619
1828,342
1832,590
1835,449
1837,942
1848,783
1862,663
1877,951
1905,409
1922,954
2000,616
2009,903
2014,622
2017,321
2018,934
2021,603
2025,321
2027,360
2045,869
2049,707
2061,879
2063,360
2068,424
2092,716
2100,581
2101,360
2105,356
2124,934
2138,561
2139,561
2148,902
2159,713
2161,351
2162,431
2167,554
2170,371
2181,612
2183,589
2199,880
2214,332
2215,332
2226,791
2232,616
2265,929
2266,356
2269,431
2287,988
2308,941
2310,612
2318,448
2319,448
2320,432
2322,434
2360,929
2365,971
2368,981
2372,971
2379,584
2380,768
2384,616
2389,351
2397,922
2401,371
2418,855
2419,855
2435,902
2437,351
2438,404
2443,431
2460,612
2466,321
2485,499
2511,342
2515,944
2517,902
2518,446
2521,563
2523,942
2524,939
2527,611
2541,979
2592,843
2603,353
2605,371
2648,407
2650,731
2651,581
2659,886
2662,942
2663,942
2666,938
2668,885
2669,853
2671,941
2689,748
2698,942
2700,938
2701,929
2702,942
2703,619
2704,939
2705,944
2707,868
2708,942
2711,767
2712,929
2719,938
2720,934
2721,942
2722,938
2723,948
2724,768
2725,938
2726,944
2727,616
2728,942
2729,745
2730,885
2731,622
2732,939
2733,934
2734,939
2735,927
2736,942
2737,938
2738,942
2739,941
2740,934
2741,567
2742,611
2743,943
2744,935
2745,763
2747,880
2748,939
2749,942
2752,332
2760,360
2809,533
2820,331
2840,954
2845,323
2857,617
2858,880
2860,360
2868,309
2871,616
2876,866
2882,942
2906,906
2909,438
2918,979
2924,943
2926,361
2929,792
2937,739
2940,863
2950,902
2958,863
2966,627
2980,356
2988,992
3027,784
3036,794
3038,786
3046,538
3050,321
3051,445
3052,420
3067,355
3071,306
3091,707
3103,434
3129,586
3134,306
3150,446
3157,567
3160,353
3167,754
3217,355
3222,353
3225,942
3227,942
3229,942
3237,605
3244,605
3245,791
3253,358
3255,855
3258,632
3271,681
3275,843
3277,563
3282,307
3297,406
3300,981
3319,942
3324,449
3327,351
3328,351
3329,991
3331,557
3338,361
3340,563
3341,564
3347,448
3355,792
3373,360
3374,663
3379,562
3388,616
3393,792
3397,905
3400,355
3404,551
3407,574
3409,404
3415,359
3425,407
3440,988
3444,404
3469,446
3474,355
3476,616
3482,432
3483,432
3489,303
3502,861
3503,355
3504,310
3505,355
3507,355
3508,351
3516,768
3517,351
3521,617
3526,617
3528,938
3529,767
3530,921
3535,731
3539,942
3542,587
3544,703
3545,794
3546,564
3547,751
3566,362
3573,356
3576,371
3585,338
3587,404
3592,414
3594,337
3610,742
3631,303
3642,360
3646,353
3656,942
3660,905
3662,746
3667,404
3669,306
3670,360
3672,533
3685,434
3689,941
3690,942
3691,938
3694,988
3696,888
3701,360
3702,902
3706,681
3707,412
3708,415
3709,449
3721,360
3722,446
3726,852
3731,616
3734,989
3736,363
3739,942
3740,939
3741,700
3742,360
3743,853
3745,603
3746,546
3748,356
3758,904
3760,908
3766,670
3767,406
3771,953
3775,351
3777,359
3779,885
3780,756
3789,390
3791,443
3800,409
3802,944
3803,552
3804,761
3811,344
3815,908
3828,360
3829,351
3835,612
3839,538
3846,991
3850,492
3851,942
3853,361
3868,303
3869,321
3872,791
3876,975
3879,345
3884,762
3886,630
3894,942
3895,929
3901,546
3903,908
3914,724
3919,605
3924,952
3926,905
3929,955
3933,572
3934,927
3935,938
3937,793
3942,667
3946,544
3961,979
3964,929
3967,360
3968,360
3971,312
3979,619
3981,592
3999,310
4001,352
4002,306
4005,450
4009,311
4018,360
4033,942
4034,938
4037,901
4041,616
4049,573
4051,763
4052,351
4057,587
4071,360
4072,872
4084,942
4095,412
4100,942
4103,977
4110,612
4115,761
4124,841
4127,938
4128,942
4133,353
4137,931
4141,360
4142,360
4143,360
4149,942
4150,612
4155,561
4169,632
4176,306
4177,307
4179,616
4180,921
4198,936
4200,792
4206,955
4208,445
4209,944
4229,939
4235,352
4236,944
4237,944
4240,581
4242,939
4243,306
4244,303
4250,903
4259,944
4265,929
4267,939
4268,928
4271,855
4276,496
4284,502
4285,498
4291,355
4303,749
4304,593
4305,853
4308,544
4315,889
4316,630
4317,356
4318,585
4321,405
4323,359
4328,363
4329,593
4338,768
4339,360
4341,744
4344,942
4359,544
4360,409
4363,361
4371,567
4376,843
4379,561
4392,750
4396,956
4398,324
4405,922
4410,909
4412,905
4413,538
4417,495
4418,921
4427,584
4435,762
4443,783
4447,889
4460,363
4464,628
4467,902
4472,928
4473,928
4474,928
4475,928
4476,928
4477,928
4478,928
4479,355
4482,983
4491,546
4492,929
4498,441
4500,616
4522,768
4530,355
4535,576
4536,491
4537,496
4538,499
4540,938
4547,794
4549,929
4558,957
4567,433
4574,785
4575,402
4587,362
4589,768
4590,606
4600,942
4604,687
4605,355
4614,907
4617,563
4620,867
4628,942
4629,571
4630,942
4633,866
4634,944
4638,371
4649,954
4654,942
4665,312
4671,717
4678,670
4684,842
4685,761
4687,928
4690,431
4692,783
4698,372
4713,945
4717,979
4720,301
4721,360
4726,371
4729,941
4740,793
4747,902
4750,546
4754,902
4761,306
4762,306
4767,853
4771,342
4776,668
4780,955
4785,552
4794,445
4807,623
4810,356
4813,903
4814,903
4818,418
4819,587
4824,768
4827,942
4828,566
4831,500
4848,906
4865,443
4878,992
4890,768
4893,942
4902,496
4903,619
4905,939
4906,928
4907,572
4909,303
4912,361
4918,929
4940,345
4951,670
4961,533
4962,627
4974,494
4977,768
4987,533
4988,329
4994,957
5001,957
5012,884
5015,567
5017,412
5018,942
5019,412
5020,552
5026,594
5036,354
5037,394
5043,360
5055,746
5056,581
5071,855
5074,351
5076,371
5078,942
5090,332
5092,903
5096,744
5102,446
5104,944
5105,632
5114,593
5122,939
5128,581
5129,360
5131,726
5137,554
5149,354
5157,902
5168,744
5180,942
5184,925
5189,885
5191,750
5197,901
5199,608
5200,782
5201,782
5202,924
5212,445
5216,954
5226,361
5228,942
5231,953
5232,310
5233,942
5241,861
5256,391
5260,939
5265,446
5267,393
5271,939
5273,387
5274,733
5282,333
5297,944
5298,955
5315,619
5325,561
5326,921
5332,852
5333,627
5334,371
5349,903
5353,909
5361,934
5370,351
5373,954
5390,616
5414,902
5418,434
5421,942
5424,855
5444,438
5445,745
5446,616
5459,955
5465,855
5472,567
5475,903
5480,498
5482,785
5484,363
5486,575
5490,363
5501,355
5502,939
5517,866
5518,572
5521,855
5535,392
5542,938
5543,362
5544,938
5545,939
5546,939
5547,944
5548,889
5549,939
5550,942
5568,931
5577,938
5584,884
5591,979
5607,903
5608,903
5620,415
5621,415
5639,612
5640,612
5641,612
5642,924
5657,934
5662,323
5677,768
5682,593
5707,619
5708,303
5709,438
5717,942
5718,608
5725,355
5731,355
5732,979
5765,533
5768,563
5781,704
5813,901
5815,424
5833,362
5843,499
5859,703
5862,492
5866,929
5871,785
5873,738
5889,412
5890,735
5896,404
5897,630
5899,939
5902,929
5911,351
5912,853
5913,619
5919,446
5931,567
5953,432
5956,988
5989,620
5993,668
6000,942
6001,939
6002,939
6003,939
6004,939
6005,939
6006,942
6007,939
6008,942
6009,768
6012,934
6024,561
6027,360
6034,360
6035,359
6036,668
6041,929
6042,944
6043,606
6060,552
6066,793
6068,662
6070,358
6072,561
6076,362
6083,938
6090,908
6098,322
6100,628
6108,750
6109,941
6110,922
6111,889
6129,793
6131,617
6134,593
6135,768
6147,942
6148,593
6149,942
6157,929
6159,620
6160,614
6164,956
6170,443
6174,303
6182,355
6185,669
6187,446
6190,767
6207,863
6211,841
6215,563
6241,414
6247,362
6248,791
6249,561
6264,540
6274,792
6275,623
6276,360
6277,360
6280,793
6301,306
6306,942
6320,663
6343,942
6362,942
6363,942
6364,942
6373,955
6374,955
6377,544
6378,355
6397,405
6398,405
6399,405
6400,405
6401,405
6402,405
6403,405
6404,405
6405,405
6406,405
6407,405
6408,405
6409,405
6410,405
6411,405
6419,616
6449,786
6450,754
6455,405
6456,792
6479,794
6482,973
6490,538
6492,538
6494,616
6501,424
6509,407
6516,612
6518,538
6523,934
6526,942
6529,533
6531,942
6534,954
6535,567
6551,922
6553,785
6554,785
6558,607
6564,929
6568,551
6571,551
6572,954
6577,739
6584,942
6616,794
6617,402
6618,791
6634,593
6645,540
6647,322
6648,322
6649,885
6650,616
6651,885
6652,309
6661,360
6667,902
6668,496
6694,329
6697,329
6698,496
6700,342
6709,588
6715,620
6720,627
6721,627
6722,942
6723,331
6727,329
6729,608
6739,323
6741,567
6749,306
6750,306
6761,981
6762,360
6764,354
6765,750
6768,361
6770,342
6773,360
6774,443
6778,412
6779,360
6797,861
6798,304
6800,406
6801,446
6803,356
6804,502
6833,611
6834,611
6837,939
6838,663
6861,355
6866,861
6871,551
6873,952
6877,768
6880,361
6882,942
6883,942
6887,443
6889,342
6892,381
6895,446
6907,842
6919,879
6922,360
6929,321
6931,749
6951,751
6955,956
6962,412
6970,953
6977,611
6981,342
6984,942
6992,951
6998,355
7002,356
7003,785
7011,951
7012,951
7018,942
7024,405
7038,592
7045,543
7047,563
7052,371
7058,867
7063,567
7065,905
7067,563
7086,960
7094,616
7095,616
7096,544
7097,576
7101,769
7102,885
7103,497
7104,855
7114,938
7117,944
7121,843
7130,446
7137,355
7164,412
7170,785
7178,420
7180,791
7182,356
7189,360
7191,861
7192,420
7193,420
7194,593
7198,991
7203,861
7212,616
7224,616
