BFS_NO,TYP
1,3
2,2
3,3
4,7
5,3
6,7
7,3
8,7
9,3
10,3
11,3
12,7
13,3
14,3
21,7
22,7
23,7
24,7
25,5
26,7
27,5
28,8
29,5
30,6
31,3
32,8
33,7
34,5
35,7
36,8
37,8
38,7
39,7
40,7
41,8
42,8
43,7
44,8
51,3
52,3
53,2
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,2
63,3
64,3
65,7
66,2
67,3
68,3
69,2
70,3
71,3
72,3
81,8
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,2
97,3
98,3
99,3
100,3
101,3
102,3
111,5
112,3
113,5
114,8
115,3
116,3
117,5
118,4
119,3
120,7
121,4
131,2
132,7
133,2
134,7
135,3
136,3
137,3
138,3
139,3
140,7
141,2
142,2
151,3
152,3
153,3
154,3
155,3
156,2
157,3
158,3
159,3
160,3
161,3
171,7
172,3
173,5
174,2
175,3
176,3
177,4
178,3
179,8
180,7
181,7
182,7
191,2
192,3
193,3
194,3
195,3
196,3
197,3
198,2
199,2
200,3
211,8
213,3
214,7
215,3
216,3
217,7
218,7
219,3
220,7
221,3
222,7
223,3
224,3
225,3
226,8
227,3
228,7
230,1
231,3
241,3
242,3
243,2
244,3
245,3
246,3
247,2
248,3
249,3
250,3
251,3
261,1
298,3
301,7
302,7
303,7
304,8
305,8
306,4
307,3
309,7
310,8
311,3
312,8
321,7
322,8
323,7
324,8
325,8
326,8
329,4
331,7
332,8
333,8
334,7
335,8
336,8
337,7
338,7
339,8
340,8
341,7
342,7
344,8
345,7
351,1
352,3
353,3
354,3
355,2
356,2
357,8
358,3
359,3
360,3
361,3
362,2
363,2
371,4
372,5
381,7
382,7
383,7
385,7
386,7
387,5
388,7
389,8
390,7
391,7
392,5
393,7
394,8
401,5
402,7
403,3
404,4
405,8
406,7
407,8
408,8
409,7
410,8
411,7
412,5
413,7
414,7
415,5
416,8
417,8
418,5
419,8
420,5
421,7
422,7
423,7
424,8
431,7
432,7
433,7
434,7
435,8
436,7
437,8
438,7
439,7
441,8
442,7
443,6
444,7
445,8
446,7
448,7
449,5
491,8
492,7
493,8
494,8
495,7
496,8
497,8
498,8
499,8
500,8
501,7
502,7
532,8
533,7
535,7
536,3
538,8
540,3
541,8
543,3
544,3
546,3
551,3
552,7
553,8
554,7
556,5
557,7
561,9
562,9
563,6
564,7
565,9
566,7
567,8
571,9
572,5
573,9
574,7
575,7
576,9
577,5
578,7
579,8
580,7
581,4
582,8
584,9
585,7
586,8
587,5
588,7
589,7
590,5
591,8
592,7
593,5
594,5
602,8
603,7
605,8
606,7
607,7
608,3
609,8
610,7
611,7
612,3
613,8
614,8
615,7
616,2
617,7
619,7
620,8
622,7
623,3
624,7
625,8
626,8
627,3
628,7
629,8
630,3
632,3
661,8
662,7
663,3
664,8
665,8
666,8
667,3
668,8
669,7
670,3
671,8
681,7
682,7
683,8
684,8
687,7
690,7
691,7
692,8
694,7
696,8
697,7
699,8
700,6
701,7
702,7
703,7
704,8
706,8
707,8
708,8
709,8
710,8
711,8
712,8
713,7
715,8
723,7
724,8
726,7
731,5
732,5
733,5
734,7
735,7
736,7
737,7
738,7
739,5
740,8
741,7
742,5
743,5
744,5
745,5
746,5
