ROW_ID,TYP,NAME,GDE_NAME
1,3,Gürtel der Grosszentren,Aeugst am Albis
2,2,Nebenzentren der Grosszentren,Affoltern am Albis
3,3,Gürtel der Grosszentren,Bonstetten
4,7,Periurbane ländliche Gemeinden,Hausen am Albis
5,3,Gürtel der Grosszentren,Hedingen
6,7,Periurbane ländliche Gemeinden,Kappel am Albis
7,3,Gürtel der Grosszentren,Knonau
8,7,Periurbane ländliche Gemeinden,Maschwanden
9,3,Gürtel der Grosszentren,Mettmenstetten
10,3,Gürtel der Grosszentren,Obfelden
11,3,Gürtel der Grosszentren,Ottenbach
12,7,Periurbane ländliche Gemeinden,Rifferswil
13,3,Gürtel der Grosszentren,Stallikon
14,3,Gürtel der Grosszentren,Wettswil am Albis
15,7,Periurbane ländliche Gemeinden,Adlikon
16,7,Periurbane ländliche Gemeinden,Benken (ZH)
17,7,Periurbane ländliche Gemeinden,Berg am Irchel
18,7,Periurbane ländliche Gemeinden,Buch am Irchel
19,5,Gürtel der Mittelzentren,Dachsen
20,7,Periurbane ländliche Gemeinden,Dorf
21,5,Gürtel der Mittelzentren,Feuerthalen
22,8,Agrargemeinden,Flaach
23,5,Gürtel der Mittelzentren,Flurlingen
24,6,Kleinzentren,Andelfingen
25,3,Gürtel der Grosszentren,Henggart
26,8,Agrargemeinden,Humlikon
27,7,Periurbane ländliche Gemeinden,Kleinandelfingen
28,5,Gürtel der Mittelzentren,Laufen-Uhwiesen
29,7,Periurbane ländliche Gemeinden,Marthalen
30,8,Agrargemeinden,Oberstammheim
31,8,Agrargemeinden,Ossingen
32,7,Periurbane ländliche Gemeinden,Rheinau
33,7,Periurbane ländliche Gemeinden,Thalheim an der Thur
34,7,Periurbane ländliche Gemeinden,Trüllikon
35,8,Agrargemeinden,Truttikon
36,8,Agrargemeinden,Unterstammheim
37,7,Periurbane ländliche Gemeinden,Volken
38,8,Agrargemeinden,Waltalingen
39,3,Gürtel der Grosszentren,Bachenbülach
40,3,Gürtel der Grosszentren,Bassersdorf
41,2,Nebenzentren der Grosszentren,Bülach
42,3,Gürtel der Grosszentren,Dietlikon
43,3,Gürtel der Grosszentren,Eglisau
44,3,Gürtel der Grosszentren,Embrach
45,3,Gürtel der Grosszentren,Freienstein-Teufen
46,3,Gürtel der Grosszentren,Glattfelden
47,3,Gürtel der Grosszentren,Hochfelden
48,3,Gürtel der Grosszentren,Höri
49,3,Gürtel der Grosszentren,Hüntwangen
50,2,Nebenzentren der Grosszentren,Kloten
51,3,Gürtel der Grosszentren,Lufingen
52,3,Gürtel der Grosszentren,Nürensdorf
53,7,Periurbane ländliche Gemeinden,Oberembrach
54,2,Nebenzentren der Grosszentren,Opfikon
55,3,Gürtel der Grosszentren,Rafz
56,3,Gürtel der Grosszentren,Rorbas
57,2,Nebenzentren der Grosszentren,Wallisellen
58,3,Gürtel der Grosszentren,Wasterkingen
59,3,Gürtel der Grosszentren,Wil (ZH)
60,3,Gürtel der Grosszentren,Winkel
61,8,Agrargemeinden,Bachs
62,3,Gürtel der Grosszentren,Boppelsen
63,3,Gürtel der Grosszentren,Buchs (ZH)
64,3,Gürtel der Grosszentren,Dällikon
65,3,Gürtel der Grosszentren,Dänikon
66,3,Gürtel der Grosszentren,Dielsdorf
67,3,Gürtel der Grosszentren,Hüttikon
68,3,Gürtel der Grosszentren,Neerach
69,3,Gürtel der Grosszentren,Niederglatt
70,3,Gürtel der Grosszentren,Niederhasli
71,3,Gürtel der Grosszentren,Niederweningen
72,3,Gürtel der Grosszentren,Oberglatt
73,3,Gürtel der Grosszentren,Oberweningen
74,3,Gürtel der Grosszentren,Otelfingen
75,3,Gürtel der Grosszentren,Regensberg
76,2,Nebenzentren der Grosszentren,Regensdorf
77,3,Gürtel der Grosszentren,Rümlang
78,3,Gürtel der Grosszentren,Schleinikon
79,3,Gürtel der Grosszentren,Schöfflisdorf
80,3,Gürtel der Grosszentren,Stadel
81,3,Gürtel der Grosszentren,Steinmaur
82,3,Gürtel der Grosszentren,Weiach
83,5,Gürtel der Mittelzentren,Bäretswil
84,3,Gürtel der Grosszentren,Bubikon
85,5,Gürtel der Mittelzentren,Dürnten
86,8,Agrargemeinden,Fischenthal
87,3,Gürtel der Grosszentren,Gossau (ZH)
88,3,Gürtel der Grosszentren,Grüningen
89,5,Gürtel der Mittelzentren,Hinwil
90,4,Mittelzentren,Rüti (ZH)
91,3,Gürtel der Grosszentren,Seegräben
92,7,Periurbane ländliche Gemeinden,Wald (ZH)
93,4,Mittelzentren,Wetzikon (ZH)
94,2,Nebenzentren der Grosszentren,Adliswil
95,7,Periurbane ländliche Gemeinden,Hirzel
96,2,Nebenzentren der Grosszentren,Horgen
97,7,Periurbane ländliche Gemeinden,Hütten
98,3,Gürtel der Grosszentren,Kilchberg (ZH)
99,3,Gürtel der Grosszentren,Langnau am Albis
100,3,Gürtel der Grosszentren,Oberrieden
101,3,Gürtel der Grosszentren,Richterswil
102,3,Gürtel der Grosszentren,Rüschlikon
103,7,Periurbane ländliche Gemeinden,Schönenberg (ZH)
104,2,Nebenzentren der Grosszentren,Thalwil
105,2,Nebenzentren der Grosszentren,Wädenswil
106,3,Gürtel der Grosszentren,Erlenbach (ZH)
107,3,Gürtel der Grosszentren,Herrliberg
108,3,Gürtel der Grosszentren,Hombrechtikon
109,3,Gürtel der Grosszentren,Küsnacht (ZH)
110,3,Gürtel der Grosszentren,Männedorf
111,2,Nebenzentren der Grosszentren,Meilen
112,3,Gürtel der Grosszentren,Oetwil am See
113,3,Gürtel der Grosszentren,Stäfa
114,3,Gürtel der Grosszentren,Uetikon am See
115,3,Gürtel der Grosszentren,Zumikon
116,3,Gürtel der Grosszentren,Zollikon
117,7,Periurbane ländliche Gemeinden,Bauma
