,year,population,bfsid,municipality
486,1981,867,1,Aeugst am Albis
648,1981,8041,2,Affoltern am Albis
810,1981,2129,3,Bonstetten
972,1981,2216,4,Hausen am Albis
1134,1981,1919,5,Hedingen
1296,1981,568,6,Kappel am Albis
1458,1981,941,7,Knonau
1620,1981,424,8,Maschwanden
1782,1981,2279,9,Mettmenstetten
1944,1981,3290,10,Obfelden
2106,1981,1380,11,Ottenbach
2268,1981,546,12,Rifferswil
2430,1981,1437,13,Stallikon
2592,1981,3337,14,Wettswil am Albis
2916,1981,482,22,Benken (ZH)
3078,1981,370,23,Berg am Irchel
3240,1981,437,24,Buch am Irchel
3402,1981,1105,25,Dachsen
3564,1981,324,26,Dorf
3726,1981,2903,27,Feuerthalen
3888,1981,853,28,Flaach
4050,1981,1022,29,Flurlingen
4212,1981,966,31,Henggart
4374,1981,1263,33,Kleinandelfingen
4536,1981,1162,34,Laufen-Uhwiesen
4698,1981,1235,35,Marthalen
4860,1981,935,37,Ossingen
5022,1981,1843,38,Rheinau
5184,1981,470,39,Thalheim an der Thur
5346,1981,864,40,Trüllikon
5508,1981,322,41,Truttikon
5670,1981,204,43,Volken
5832,1981,2353,291,Andelfingen
5994,1981,1982,292,Stammheim
6318,1981,2882,51,Bachenbülach
6480,1981,5275,52,Bassersdorf
6642,1981,12348,53,Bülach
6804,1981,5260,54,Dietlikon
6966,1981,2407,55,Eglisau
7128,1981,5911,56,Embrach
7290,1981,1479,57,Freienstein-Teufen
7452,1981,2724,58,Glattfelden
7614,1981,914,59,Hochfelden
7776,1981,1730,60,Höri
7938,1981,648,61,Hüntwangen
8100,1981,15770,62,Kloten
8262,1981,717,63,Lufingen
8424,1981,3345,64,Nürensdorf
8586,1981,729,65,Oberembrach
8748,1981,11181,66,Opfikon
8910,1981,2293,67,Rafz
9072,1981,1279,68,Rorbas
9234,1981,10706,69,Wallisellen
9396,1981,318,70,Wasterkingen
9558,1981,885,71,Wil (ZH)
9720,1981,2016,72,Winkel
10044,1981,429,81,Bachs
10206,1981,709,82,Boppelsen
10368,1981,1815,83,Buchs (ZH)
10530,1981,2422,84,Dällikon
10692,1981,965,85,Dänikon
10854,1981,3722,86,Dielsdorf
11016,1981,347,87,Hüttikon
11178,1981,1161,88,Neerach
11340,1981,2953,89,Niederglatt
11502,1981,5106,90,Niederhasli
11664,1981,1257,91,Niederweningen
11826,1981,4072,92,Oberglatt
11988,1981,685,93,Oberweningen
12150,1981,1230,94,Otelfingen
12312,1981,628,95,Regensberg
12474,1981,12253,96,Regensdorf
12636,1981,5037,97,Rümlang
12798,1981,444,98,Schleinikon
12960,1981,691,99,Schöfflisdorf
13122,1981,1302,100,Stadel
13284,1981,2113,101,Steinmaur
13446,1981,683,102,Weiach
13770,1981,3140,111,Bäretswil
13932,1981,3595,112,Bubikon
14094,1981,4941,113,Dürnten
14256,1981,1570,114,Fischenthal
14418,1981,6176,115,Gossau (ZH)
14580,1981,2175,116,Grüningen
14742,1981,7533,117,Hinwil
14904,1981,9254,118,Rüti (ZH)
15066,1981,1125,119,Seegräben
15228,1981,7453,120,Wald (ZH)
15390,1981,15822,121,Wetzikon (ZH)
15714,1981,16412,131,Adliswil
15876,1981,7229,135,Kilchberg (ZH)
16038,1981,6701,136,Langnau am Albis
16200,1981,3975,137,Oberrieden
16362,1981,8615,138,Richterswil
16524,1981,4782,139,Rüschlikon
16686,1981,15503,141,Thalwil
16848,1981,20485,293,Wädenswil
17010,1981,17904,295,Horgen
17334,1981,4330,151,Erlenbach (ZH)
17496,1981,4224,152,Herrliberg
17658,1981,5938,153,Hombrechtikon
17820,1981,12779,154,Küsnacht (ZH)
17982,1981,7759,155,Männedorf
18144,1981,10479,156,Meilen
18306,1981,3144,157,Oetwil am See
18468,1981,10562,158,Stäfa
18630,1981,3664,159,Uetikon am See
18792,1981,4419,160,Zumikon
18954,1981,12112,161,Zollikon
