bfs_nr,renelec_production_mwh_per_year_per_capita,renelec_production_mwh_per_year,renelec_production_water_mwh_per_year,renelec_production_solar_mwh_per_year,renelec_production_wind_mwh_per_year,renelec_production_biomass_mwh_per_year,renelec_production_waste_mwh_per_year,renelec_production_date_from,renelec_production_date_until
1,0.5722,1151.0,0.0,1151.0,0.0,0.0,0.0,2022-10-01,2023-09-30
1,0.5757,1158.0,0.0,1158.0,0.0,0.0,0.0,2022-11-01,2023-10-31
1,0.5722,1151.0,0.0,1151.0,0.0,0.0,0.0,2022-12-01,2023-11-30
1,0.5742,1155.0,0.0,1155.0,0.0,0.0,0.0,2023-01-01,2023-12-31
1,0.5747,1156.0,0.0,1156.0,0.0,0.0,0.0,2023-02-01,2024-01-31
1,0.5717,1150.0,0.0,1150.0,0.0,0.0,0.0,2023-03-01,2024-02-29
1,0.5833,1164.0,0.0,1164.0,0.0,0.0,0.0,2023-03-01,2024-02-29
1,0.5918,1181.0,0.0,1181.0,0.0,0.0,0.0,2023-05-01,2024-04-30
1,0.5918,1181.0,0.0,1181.0,0.0,0.0,0.0,2023-05-01,2024-04-30
1,0.5918,1181.0,0.0,1181.0,0.0,0.0,0.0,2023-05-01,2024-04-30
1,0.5823,1162.0,0.0,1162.0,0.0,0.0,0.0,2023-08-01,2024-07-31
1,0.6048,1207.0,0.0,1207.0,0.0,0.0,0.0,2023-09-01,2024-08-31
1,0.6033,1204.0,0.0,1204.0,0.0,0.0,0.0,2023-10-01,2024-09-30
1,0.6068,1211.0,0.0,1211.0,0.0,0.0,0.0,2023-11-01,2024-10-31
1,0.6349,1267.0,0.0,1267.0,0.0,0.0,0.0,2023-12-01,2024-11-30
1,0.4956,989.0,0.0,989.0,0.0,0.0,0.0,2024-01-01,2024-12-31
1,0.5016,1001.0,0.0,1001.0,0.0,0.0,0.0,2024-02-01,2025-01-31
1,0.4955,990.0,0.0,990.0,0.0,0.0,0.0,2024-02-29,2025-02-28
1,0.5103,1024.0,0.0,1024.0,0.0,0.0,0.0,2024-04-01,2025-03-31
2,0.2701,3385.0,0.0,2588.0,0.0,796.0,0.0,2022-10-01,2023-09-30
2,0.2714,3402.0,0.0,2617.0,0.0,785.0,0.0,2022-11-01,2023-10-31
2,0.2698,3382.0,0.0,2607.0,0.0,775.0,0.0,2022-12-01,2023-11-30
2,0.2697,3380.0,0.0,2619.0,0.0,761.0,0.0,2023-01-01,2023-12-31
2,0.2697,3380.0,0.0,2624.0,0.0,756.0,0.0,2023-02-01,2024-01-31
2,0.2609,3270.0,0.0,2612.0,0.0,658.0,0.0,2023-03-01,2024-02-29
2,0.2633,3362.0,0.0,2704.0,0.0,658.0,0.0,2023-03-01,2024-02-29
2,0.271,3460.0,0.0,2810.0,0.0,650.0,0.0,2023-05-01,2024-04-30
2,0.271,3460.0,0.0,2810.0,0.0,650.0,0.0,2023-05-01,2024-04-30
2,0.271,3460.0,0.0,2810.0,0.0,650.0,0.0,2023-05-01,2024-04-30
2,0.2901,3704.0,0.0,3065.0,0.0,639.0,0.0,2023-08-01,2024-07-31
2,0.3038,3879.0,0.0,3240.0,0.0,639.0,0.0,2023-09-01,2024-08-31
2,0.306,3907.0,0.0,3271.0,0.0,637.0,0.0,2023-10-01,2024-09-30
2,0.3067,3916.0,0.0,3278.0,0.0,638.0,0.0,2023-11-01,2024-10-31
2,0.3176,4055.0,0.0,3418.0,0.0,637.0,0.0,2023-12-01,2024-11-30
2,0.322,4111.0,0.0,3465.0,0.0,647.0,0.0,2024-01-01,2024-12-31
2,0.3298,4211.0,0.0,3562.0,0.0,649.0,0.0,2024-02-01,2025-01-31
2,0.3255,4185.0,0.0,3538.0,0.0,647.0,0.0,2024-02-29,2025-02-28
2,0.333,4375.0,0.0,3719.0,0.0,655.0,0.0,2024-04-01,2025-03-31
3,0.2008,1143.0,0.0,1143.0,0.0,0.0,0.0,2022-10-01,2023-09-30
3,0.2027,1154.0,0.0,1154.0,0.0,0.0,0.0,2022-11-01,2023-10-31
3,0.2019,1149.0,0.0,1149.0,0.0,0.0,0.0,2022-12-01,2023-11-30
3,0.2027,1154.0,0.0,1154.0,0.0,0.0,0.0,2023-01-01,2023-12-31
3,0.2031,1156.0,0.0,1156.0,0.0,0.0,0.0,2023-02-01,2024-01-31
3,0.2026,1153.0,0.0,1153.0,0.0,0.0,0.0,2023-03-01,2024-02-29
3,0.2151,1218.0,0.0,1218.0,0.0,0.0,0.0,2023-03-01,2024-02-29
3,0.2225,1260.0,0.0,1260.0,0.0,0.0,0.0,2023-05-01,2024-04-30
3,0.2225,1260.0,0.0,1260.0,0.0,0.0,0.0,2023-05-01,2024-04-30
3,0.2225,1260.0,0.0,1260.0,0.0,0.0,0.0,2023-05-01,2024-04-30
3,0.2388,1352.0,0.0,1352.0,0.0,0.0,0.0,2023-08-01,2024-07-31
3,0.2404,1361.0,0.0,1361.0,0.0,0.0,0.0,2023-09-01,2024-08-31
3,0.237,1342.0,0.0,1342.0,0.0,0.0,0.0,2023-10-01,2024-09-30
3,0.2354,1333.0,0.0,1333.0,0.0,0.0,0.0,2023-11-01,2024-10-31
3,0.2374,1344.0,0.0,1344.0,0.0,0.0,0.0,2023-12-01,2024-11-30
3,0.2416,1368.0,0.0,1368.0,0.0,0.0,0.0,2024-01-01,2024-12-31
3,0.2467,1397.0,0.0,1397.0,0.0,0.0,0.0,2024-02-01,2025-01-31
3,0.2429,1380.0,0.0,1380.0,0.0,0.0,0.0,2024-02-29,2025-02-28
3,0.2513,1440.0,0.0,1440.0,0.0,0.0,0.0,2024-04-01,2025-03-31
4,0.6662,2629.0,0.0,2315.0,0.0,313.0,0.0,2022-10-01,2023-09-30
4,0.668,2636.0,0.0,2325.0,0.0,311.0,0.0,2022-11-01,2023-10-31
4,0.6637,2619.0,0.0,2310.0,0.0,309.0,0.0,2022-12-01,2023-11-30
4,0.665,2624.0,0.0,2317.0,0.0,306.0,0.0,2023-01-01,2023-12-31
4,0.665,2624.0,0.0,2318.0,0.0,305.0,0.0,2023-02-01,2024-01-31
4,0.6627,2615.0,0.0,2303.0,0.0,312.0,0.0,2023-03-01,2024-02-29
4,0.6646,2637.0,0.0,2324.0,0.0,312.0,0.0,2023-03-01,2024-02-29
4,0.6731,2671.0,0.0,2364.0,0.0,307.0,0.0,2023-05-01,2024-04-30
4,0.6731,2671.0,0.0,2364.0,0.0,307.0,0.0,2023-05-01,2024-04-30
4,0.6731,2671.0,0.0,2364.0,0.0,307.0,0.0,2023-05-01,2024-04-30
4,0.6678,2650.0,0.0,2350.0,0.0,300.0,0.0,2023-08-01,2024-07-31
4,0.6895,2736.0,0.0,2435.0,0.0,301.0,0.0,2023-09-01,2024-08-31
4,0.6804,2700.0,0.0,2400.0,0.0,300.0,0.0,2023-10-01,2024-09-30
4,0.6857,2721.0,0.0,2420.0,0.0,301.0,0.0,2023-11-01,2024-10-31
4,0.6935,2752.0,0.0,2453.0,0.0,299.0,0.0,2023-12-01,2024-11-30
4,0.6852,2719.0,0.0,2425.0,0.0,295.0,0.0,2024-01-01,2024-12-31
4,0.7067,2804.0,0.0,2509.0,0.0,295.0,0.0,2024-02-01,2025-01-31
4,0.6913,2774.0,0.0,2479.0,0.0,295.0,0.0,2024-02-29,2025-02-28
4,0.6917,2826.0,0.0,2527.0,0.0,298.0,0.0,2024-04-01,2025-03-31
5,0.514,1965.0,0.0,1965.0,0.0,0.0,0.0,2022-10-01,2023-09-30
